DATA;VALUTA;BRANCHE;TID;INDHOLD
ULT;DKK;KZZ;2013M11;377007.1
ULT;DKK;KZZ;2013M12;409662.8
ULT;DKK;KZZ;2014M01;378395.5
ULT;DKK;KZZ;2014M02;376966.4
ULT;DKK;KZZ;2014M03;387744.1
ULT;DKK;KZZ;2014M04;344379.8
ULT;DKK;KZZ;2014M05;337397.7
ULT;DKK;KZZ;2014M06;347392.5
ULT;DKK;KZZ;2014M07;322666.3
ULT;DKK;KZZ;2014M08;322115.3
ULT;DKK;KZZ;2014M09;351235.5
ULT;DKK;KZZ;2014M10;341158.5
ULT;DKK;KZZ;2014M11;339080.4
ULT;DKK;KZZ;2014M12;355698.8
ULT;DKK;KZZ;2015M01;345256.4
ULT;DKK;KZZ;2015M02;357018.1
ULT;DKK;KZZ;2015M03;463141.3
ULT;DKK;KZZ;2015M04;445377.6
ULT;DKK;KZZ;2015M05;437222.7
ULT;DKK;KZZ;2015M06;425480.8
ULT;DKK;KZZ;2015M07;427542.1
ULT;DKK;KZZ;2015M08;321733.0
ULT;DKK;KZZ;2015M09;333875.5
ULT;DKK;KZZ;2015M10;327210.5
ULT;DKK;KZZ;2015M11;323847.9
ULT;DKK;KZZ;2015M12;346863.7
ULT;DKK;KZZ;2016M01;322092.1
ULT;DKK;KZZ;2016M02;337383.2
ULT;DKK;KZZ;2016M03;348793.0
ULT;DKK;KZZ;2016M04;332179.3
ULT;DKK;KZZ;2016M05;342221.2
ULT;DKK;KZZ;2016M06;332582.2
ULT;DKK;KZZ;2016M07;332478.9
ULT;DKK;KZZ;2016M08;318811.1
ULT;DKK;KZZ;2016M09;336483.5
ULT;DKK;KZZ;2016M10;313220.9
ULT;DKK;KZZ;2016M11;313849.6
ULT;DKK;KZZ;2016M12;309131.5
ULT;DKK;KZZ;2017M01;302471.1
ULT;DKK;LZZ;2013M09;..
ULT;DKK;LZZ;2013M10;101062.1
ULT;DKK;LZZ;2013M11;99478.2
ULT;DKK;LZZ;2013M12;100447.1
ULT;DKK;LZZ;2014M01;97051.3
ULT;DKK;LZZ;2014M02;97205.9
ULT;DKK;LZZ;2014M03;98039.2
ULT;DKK;LZZ;2014M04;95579.4
ULT;DKK;LZZ;2014M05;94559.3
ULT;DKK;LZZ;2014M06;97678.3
ULT;DKK;LZZ;2014M07;94596.9
ULT;DKK;LZZ;2014M08;95724.8
ULT;DKK;LZZ;2014M09;97846.9
ULT;DKK;LZZ;2014M10;96392.7
ULT;DKK;LZZ;2014M11;94915.0
ULT;DKK;LZZ;2014M12;100620.0
ULT;DKK;LZZ;2015M01;98371.8
ULT;DKK;LZZ;2015M02;97060.4
ULT;DKK;LZZ;2015M03;97226.3
ULT;DKK;LZZ;2015M04;95831.0
ULT;DKK;LZZ;2015M05;96264.1
ULT;DKK;LZZ;2015M06;97075.5
ULT;DKK;LZZ;2015M07;93915.4
ULT;DKK;LZZ;2015M08;95568.9
ULT;DKK;LZZ;2015M09;96385.6
ULT;DKK;LZZ;2015M10;95513.8
ULT;DKK;LZZ;2015M11;95943.5
ULT;DKK;LZZ;2015M12;98252.3
ULT;DKK;LZZ;2016M01;94326.9
ULT;DKK;LZZ;2016M02;90580.2
ULT;DKK;LZZ;2016M03;93531.8
ULT;DKK;LZZ;2016M04;93963.2
ULT;DKK;LZZ;2016M05;91290.9
ULT;DKK;LZZ;2016M06;94806.4
ULT;DKK;LZZ;2016M07;93249.8
ULT;DKK;LZZ;2016M08;93494.6
ULT;DKK;LZZ;2016M09;96084.8
ULT;DKK;LZZ;2016M10;95377.1
ULT;DKK;LZZ;2016M11;97170.9
ULT;DKK;LZZ;2016M12;101250.0
ULT;DKK;LZZ;2017M01;97918.3
ULT;DKK;MZZ;2013M09;..
ULT;DKK;MZZ;2013M10;19459.3
ULT;DKK;MZZ;2013M11;19524.3
ULT;DKK;MZZ;2013M12;21452.1
ULT;DKK;MZZ;2014M01;21485.6
ULT;DKK;MZZ;2014M02;21779.3
ULT;DKK;MZZ;2014M03;20862.1
ULT;DKK;MZZ;2014M04;20933.5
ULT;DKK;MZZ;2014M05;20740.5
ULT;DKK;MZZ;2014M06;20606.1
ULT;DKK;MZZ;2014M07;19677.3
ULT;DKK;MZZ;2014M08;20209.8
ULT;DKK;MZZ;2014M09;20188.7
ULT;DKK;MZZ;2014M10;19967.9
ULT;DKK;MZZ;2014M11;20754.8
ULT;DKK;MZZ;2014M12;20849.4
ULT;DKK;MZZ;2015M01;20246.0
ULT;DKK;MZZ;2015M02;20443.1
ULT;DKK;MZZ;2015M03;20158.6
ULT;DKK;MZZ;2015M04;20019.9
ULT;DKK;MZZ;2015M05;19417.1
ULT;DKK;MZZ;2015M06;20319.1
ULT;DKK;MZZ;2015M07;19851.5
ULT;DKK;MZZ;2015M08;19877.4
ULT;DKK;MZZ;2015M09;20541.9
ULT;DKK;MZZ;2015M10;20443.9
ULT;DKK;MZZ;2015M11;19703.4
ULT;DKK;MZZ;2015M12;20230.8
ULT;DKK;MZZ;2016M01;19838.7
ULT;DKK;MZZ;2016M02;22968.5
ULT;DKK;MZZ;2016M03;23140.9
ULT;DKK;MZZ;2016M04;23683.2
ULT;DKK;MZZ;2016M05;23527.3
ULT;DKK;MZZ;2016M06;25178.6
ULT;DKK;MZZ;2016M07;23666.9
ULT;DKK;MZZ;2016M08;23533.1
ULT;DKK;MZZ;2016M09;25156.7
ULT;DKK;MZZ;2016M10;25699.3
ULT;DKK;MZZ;2016M11;25932.6
ULT;DKK;MZZ;2016M12;25789.0
ULT;DKK;MZZ;2017M01;26932.5
ULT;DKK;NZZ;2013M09;..
ULT;DKK;NZZ;2013M10;12950.9
ULT;DKK;NZZ;2013M11;13163.9
